  MyForm.cpp
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(274,1): warning C4554: "|": проверьте приоритет операторов на ошибки; для уточнения приоритета используйте скобки
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(504,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(508,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(515,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(519,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(523,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(527,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(545,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(549,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(552,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(556,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(563,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(567,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(571,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(575,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(601,91): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(604,93): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(607,93): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(610,93): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(616,113): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(618,139): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(642,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
  MyForm.obj : обнаружен модуль MSIL; для MSIL последовательная компоновка отключена; выполняется полная компоновка
 our_calc.vcxproj -> C:\Users\79504\source\repos\-WinForms-C-\our_calc\x64\Debug\Calculator.exe
